"Sample ID","Wavelength (nm)","Absorbance","NPOC","Standardized Absorbance (L mg-1 cm-1)"
"GB1",220,0.653333333333333,212.66,0.00307219662058372
"GB1",221,0.566333333333333,212.66,0.00266309288692436
"GB1",222,0.551,212.66,0.00259099031317596
"GB1",223,0.578666666666667,212.66,0.00272108843537415
"GB1",224,0.590333333333333,212.66,0.00277594908931314
"GB1",225,0.539,212.66,0.00253456221198157
"GB1",226,0.535333333333333,212.66,0.00251732029217217
"GB1",227,0.544666666666667,212.66,0.00256120881532336
"GB1",228,0.533333333333333,212.66,0.00250791560863977
"GB1",229,0.527,212.66,0.00247813411078717
"GB1",230,0.528,212.66,0.00248283645255337
"GB1",231,0.52,212.66,0.00244521771842378
"GB1",232,0.514666666666667,212.66,0.00242013856233738
"GB1",233,0.506666666666667,212.66,0.00238251982820778
"GB1",234,0.493,212.66,0.00231825449073639
"GB1",235,0.48,212.66,0.00225712404777579
"GB1",236,0.471666666666667,212.66,0.0022179378663908
"GB1",237,0.465333333333333,212.66,0.0021881563685382
"GB1",238,0.458333333333333,212.66,0.0021552399761748
"GB1",239,0.447666666666667,212.66,0.00210508166400201
"GB1",240,0.438666666666667,212.66,0.00206276058810621
"GB1",241,0.429,212.66,0.00201730461769961
"GB1",242,0.422,212.66,0.00198438822533622
"GB1",243,0.419,212.66,0.00197028120003762
"GB1",244,0.416,212.66,0.00195617417473902
"GB1",245,0.411,212.66,0.00193266246590802
"GB1",246,0.403666666666667,212.66,0.00189817862628923
"GB1",247,0.396666666666667,212.66,0.00186526223392583
"GB1",248,0.393666666666667,212.66,0.00185115520862723
"GB1",249,0.391,212.66,0.00183861563058403
"GB1",250,0.388333333333333,212.66,0.00182607605254083
"GB1",251,0.383,212.66,0.00180099689645443
"GB1",252,0.378666666666667,212.66,0.00178062008213424
"GB1",253,0.376666666666667,212.66,0.00177121539860184
"GB1",254,0.372666666666667,212.66,0.00175240603153704
"GB1",255,0.369,212.66,0.00173516411172764
"GB1",256,0.365,212.66,0.00171635474466284
"GB1",257,0.36,212.66,0.00169284303583184
"GB1",258,0.355,212.66,0.00166933132700085
"GB1",259,0.353666666666667,212.66,0.00166306153797925
"GB1",260,0.351,212.66,0.00165052195993605
"GB1",261,0.348666666666667,212.66,0.00163954982914825
"GB1",262,0.347,212.66,0.00163171259287125
"GB1",263,0.344333333333333,212.66,0.00161917301482805
"GB1",264,0.341666666666667,212.66,0.00160663343678485
"GB1",265,0.338666666666667,212.66,0.00159252641148625
"GB1",266,0.335666666666667,212.66,0.00157841938618765
"GB1",267,0.331666666666667,212.66,0.00155961001912286
"GB1",268,0.328,212.66,0.00154236809931346
"GB1",269,0.325666666666667,212.66,0.00153139596852566
"GB1",270,0.322333333333333,212.66,0.00151572149597166
"GB1",271,0.319666666666667,212.66,0.00150318191792846
"GB1",272,0.316333333333333,212.66,0.00148750744537446
"GB1",273,0.314,212.66,0.00147653531458666
"GB1",274,0.311,212.66,0.00146242828928807
"GB1",275,0.307333333333333,212.66,0.00144518636947867
"GB1",276,0.306333333333333,212.66,0.00144048402771247
"GB1",277,0.303,212.66,0.00142480955515847
"GB1",278,0.3,212.66,0.00141070252985987
"GB1",279,0.297333333333333,212.66,0.00139816295181667
"GB1",280,0.294,212.66,0.00138248847926267
